,0_ECDF_0,0_ECDF_1,0_ECDF_2,0_ECDF_3,0_ECDF_4,0_ECDF_5,0_ECDF_6,0_ECDF_7,0_ECDF_8,0_ECDF_9,0_ECDF Percentile_0,0_ECDF Percentile_1,0_ECDF Percentile Count_0,0_ECDF Percentile Count_1,0_Histogram_0,0_Histogram_1,0_Histogram_2,0_Histogram_3,0_Histogram_4,0_Histogram_5,0_Histogram_6,0_Histogram_7,0_Histogram_8,0_Histogram_9,0_Interquartile range,0_Kurtosis,0_Max,0_Mean,0_Mean absolute deviation,0_Median,0_Median absolute deviation,0_Min,0_Root mean square,0_Skewness,0_Standard deviation,0_Variance,Class,Anomaly
67,0.025,0.05,0.075,0.1,0.125,0.15,0.175,0.2,0.225,0.25,0.556348121,0.602100635,8,32,0,0,0,0,0,0,0,29,10,1,0.035400073,18.91543201,0.915784443,0.592937349,0.031277264,0.582884705,0.017811498,0.531240734,0.595914362,3.990825225,0.059491404,0.003539227,0,0
68,0.025,0.05,0.075,0.1,0.125,0.15,0.175,0.2,0.225,0.25,0.561549068,0.604066709,8,32,0,0,0,0,0,0,0,28,11,1,0.035815448,18.73913841,0.915784443,0.594599583,0.031319775,0.583427076,0.018257579,0.531240734,0.597549894,3.953030352,0.059306085,0.003517212,0,0
69,0.025,0.05,0.075,0.1,0.125,0.15,0.175,0.2,0.225,0.25,0.565063349,0.604066709,8,32,0,0,0,0,0,0,0,28,11,1,0.028923287,15.56425936,0.915784443,0.597818918,0.033694867,0.584541845,0.017307585,0.531240734,0.600949265,3.570140441,0.061258147,0.003752561,0,0
70,0.025,0.05,0.075,0.1,0.125,0.15,0.175,0.2,0.225,0.25,0.565063349,0.604066709,8,32,0,0,0,0,0,0,0,28,11,1,0.030891818,15.51224393,0.915784443,0.598170457,0.033521456,0.5876712,0.014859559,0.531240734,0.60129648,3.557114424,0.061233663,0.003749561,0,0
71,0.025,0.05,0.075,0.1,0.125,0.15,0.175,0.2,0.225,0.25,0.565063349,0.604066709,8,32,0,0,0,0,0,0,0,28,11,1,0.034243851,15.41954851,0.915784443,0.597654205,0.033857019,0.586585527,0.016498146,0.531240734,0.600801042,3.548363685,0.061411255,0.003771342,0,0
72,0.025,0.05,0.075,0.1,0.125,0.15,0.175,0.2,0.225,0.25,0.565063349,0.61222774,8,32,0,0,0,0,0,0,0,28,11,1,0.030459654,13.44700518,0.915784443,0.600161939,0.036404144,0.586585527,0.015263903,0.531240734,0.603434851,3.277599155,0.062763581,0.003939267,0,0
73,0.025,0.05,0.075,0.1,0.125,0.15,0.175,0.2,0.225,0.25,0.565063349,0.616156464,8,32,0,0,0,0,0,0,0,27,11,2,0.029903664,8.063145234,0.915784443,0.606780577,0.04446443,0.591807321,0.017860984,0.531240734,0.610895552,2.667431327,0.070786346,0.005010707,0,0
74,0.025,0.05,0.075,0.1,0.125,0.15,0.175,0.2,0.225,0.25,0.565063349,0.616156464,8,32,0,0,0,0,0,0,0,28,10,2,0.033238028,8.129602047,0.915784443,0.606342759,0.044683339,0.586585527,0.016833826,0.531240734,0.610459567,2.691276822,0.070776706,0.005009342,0,0
75,0.025,0.05,0.075,0.1,0.125,0.15,0.175,0.2,0.225,0.25,0.56791214,0.616156464,8,32,0,0,0,0,0,0,0,28,10,2,0.033238028,8.419385981,0.915784443,0.607090942,0.044309248,0.586556431,0.016833826,0.53270015,0.611124256,2.764069279,0.070095967,0.004913445,0,0
76,0.025,0.05,0.075,0.1,0.125,0.15,0.175,0.2,0.225,0.25,0.568163048,0.616156464,8,32,0,0,0,0,0,0,0,28,10,2,0.029903664,8.790962408,0.915784443,0.608529888,0.043589774,0.590075149,0.016128812,0.546825565,0.61244509,2.848552881,0.069140178,0.004780364,0,0
