,0_Interquartile range,0_Kurtosis,0_Mean,0_Mean absolute deviation,0_Median,0_Median absolute deviation,0_Root mean square,0_Skewness,0_Standard deviation,0_Variance,Class
38,0.272053758,1.110089053,0.257850317,0.206765764,0.132198487,0.083238449,0.368187985,1.421883233,0.262822385,0.069075606,0
39,0.325505384,1.087825845,0.244997443,0.213641764,0.127554562,0.07229188,0.361604084,1.428692842,0.265958205,0.070733767,0
40,0.359568005,0.870506024,0.253839398,0.217707239,0.129488701,0.083485882,0.368119562,1.332285157,0.266603773,0.071077572,0
41,0.386419509,0.568163373,0.256877153,0.225536242,0.147639856,0.1207828,0.373985311,1.202853642,0.271807176,0.073879141,0
42,0.425174684,-0.260315833,0.287950649,0.256338217,0.162049743,0.137715473,0.413008578,0.959864975,0.296075174,0.087660509,0
43,0.474482705,-0.23505605,0.279027605,0.266291304,0.124334923,0.108095553,0.413785368,0.986121532,0.30555184,0.093361927,0
44,0.335217516,1.095902724,0.236717203,0.225091638,0.108143194,0.091903824,0.365942498,1.413236822,0.279067873,0.077878878,0
45,0.369826139,0.906881372,0.249373985,0.224719075,0.11920403,0.11051324,0.373408953,1.313904772,0.277933197,0.077246862,0
46,0.370488291,0.78953855,0.262606013,0.221363539,0.139240118,0.127761574,0.380546527,1.230955975,0.275415579,0.075853741,0
47,0.372063019,0.684237477,0.276735209,0.217502839,0.243016758,0.192169952,0.388386398,1.14175057,0.27250985,0.074261619,0
48,0.368362663,0.682138384,0.288284686,0.210875873,0.265024972,0.20190577,0.39391354,1.089998858,0.268439596,0.072059816,0
49,0.354505995,0.723518854,0.299868063,0.204665327,0.271279857,0.190574607,0.399188475,1.057856045,0.263496837,0.069430583,0
50,0.322060255,0.758396735,0.31601473,0.199137815,0.281846751,0.173703557,0.407524932,1.001122056,0.257315488,0.06621126,0
51,0.304706041,0.982848028,0.308800469,0.198595928,0.248559626,0.167828873,0.400141313,1.113004848,0.254470708,0.064755341,0
52,0.332024017,0.944401604,0.287260222,0.209617202,0.236308441,0.177578986,0.388454509,1.179298406,0.261492774,0.068378471,0
53,0.32070766,0.550797451,0.308793819,0.211786061,0.262954524,0.159320219,0.405579994,1.000351406,0.26294773,0.069141509,0
54,0.313381145,0.546404189,0.32470382,0.203519527,0.340685038,0.18275831,0.414766498,0.913552448,0.258067196,0.066598677,0
55,0.306118723,0.665610121,0.333053709,0.193293779,0.339109838,0.153326982,0.41814241,0.914037562,0.252820691,0.063918302,0
56,0.28942735,0.793232171,0.334356417,0.18814784,0.335177789,0.150161281,0.417223583,0.957806106,0.249562226,0.062281305,0
57,0.284833497,0.934430553,0.340185915,0.182066717,0.335177789,0.131285904,0.41906873,0.997135108,0.244728715,0.059892144,0
58,0.29131124,0.913226047,0.357471935,0.175584413,0.347738748,0.115013564,0.430242899,0.940011314,0.239421737,0.057322768,0
59,0.24157517,0.547653944,0.359508041,0.197419292,0.315469923,0.13532221,0.44786541,1.099623091,0.267090611,0.071337394,0
60,0.240695634,0.391234415,0.367227742,0.204185131,0.287251518,0.118992818,0.454018402,1.088220023,0.266976582,0.071276495,0
61,0.27813145,0.268359829,0.304334537,0.232150796,0.177355934,0.135400226,0.422227931,1.188986544,0.292672027,0.085656915,0
62,0.255440915,0.374730132,0.293757231,0.233852569,0.146753984,0.104798277,0.415839336,1.268329268,0.294328121,0.086629043,0
63,0.226124467,1.539129315,0.262227302,0.205476888,0.13465824,0.078689269,0.37926033,1.599405097,0.273998613,0.07507524,0
64,0.220784518,3.529202562,0.230963178,0.167358016,0.13465824,0.071052426,0.329328141,1.962669506,0.234761656,0.055113035,0
65,0.214413607,3.31272069,0.240616744,0.168730238,0.160808699,0.085839907,0.335480695,1.88662285,0.233775275,0.054650879,0
66,0.19527182,3.465278026,0.235240512,0.166233521,0.165550099,0.103256249,0.331284455,1.903858555,0.23326228,0.054411291,0
67,0.195763488,3.422138037,0.243605473,0.165081624,0.170096328,0.103818136,0.335758376,1.869780223,0.231062893,0.053390061,0
68,0.205527518,2.93525925,0.255250061,0.169276402,0.176809538,0.104113707,0.345239018,1.732909219,0.232459429,0.054037386,0
69,0.242434892,2.535494331,0.268398152,0.172870626,0.199669916,0.110232644,0.355228699,1.585946783,0.232701227,0.054149861,0
70,0.254841824,2.328037259,0.272348085,0.175895575,0.201608396,0.115639672,0.358975495,1.513241197,0.233858775,0.054689927,0
71,0.256258194,2.358673107,0.268756747,0.177669191,0.176809538,0.107982563,0.356727075,1.541733215,0.234571987,0.055024017,0
72,0.254242251,2.462419722,0.272622557,0.172884068,0.201608396,0.114208861,0.358107947,1.546164804,0.232203022,0.053918243,0
73,0.281794128,1.387095217,0.292443254,0.187402641,0.220537636,0.11116302,0.383091902,1.346883433,0.247459791,0.061236348,0
74,0.254242251,1.538992269,0.286448314,0.185766849,0.201608396,0.099756475,0.378280734,1.427603108,0.247070186,0.061043677,0
75,0.256103475,1.623691654,0.286059772,0.185637455,0.198852303,0.100422009,0.377046981,1.476411575,0.245630277,0.060334233,0
76,0.298184065,1.346018312,0.268527816,0.1956197,0.193324022,0.1405921,0.371074225,1.37488405,0.256103285,0.065588893,0
77,0.304842774,1.138888527,0.277273096,0.198384012,0.199720581,0.144314679,0.377667884,1.296148504,0.256422816,0.065752661,0
78,0.332885274,0.909930082,0.279536312,0.207451311,0.166900084,0.127276814,0.381505175,1.235297933,0.259625979,0.067405649,0
79,0.414354016,0.074003946,0.321313444,0.224845644,0.207801423,0.15188962,0.41705752,0.91663002,0.265884647,0.070694646,0
80,0.341019335,0.450319957,0.312300099,0.211469712,0.207801423,0.15188962,0.400879737,0.96214973,0.251342817,0.063173211,0
81,0.314385691,0.872121304,0.306653703,0.19958853,0.225625695,0.158280903,0.39192585,1.07784517,0.24406839,0.059569379,0
82,0.347803577,0.618045716,0.314616725,0.203131951,0.246810323,0.168627885,0.399884002,0.946816329,0.246826926,0.060923531,0
83,0.291731028,1.398285958,0.296121615,0.189255795,0.239377006,0.161194567,0.379918337,1.181366722,0.238012462,0.056649932,0
84,0.345218079,1.0361352,0.302962839,0.195916928,0.2438439,0.173030868,0.387665272,1.065272959,0.241863353,0.058497881,0
85,0.37097055,0.489936883,0.312406424,0.209137995,0.2438439,0.175760701,0.403262146,0.97931156,0.254995265,0.065022585,0
86,0.404541492,0.140331966,0.321673108,0.219104314,0.2438439,0.175760701,0.417681212,0.931753446,0.266428239,0.070984007,0
87,0.361193141,0.205718719,0.318623441,0.217341393,0.23489555,0.171878326,0.414666101,0.960031557,0.265381006,0.070427078,0
